,Metric,English,Comments
Density ,8.00 g/cc,0.289 lb/in³,
"Hardness, Rockwell C ",<= 33.0,<= 33.0,PSL2 Sanicro 28-110
 ,<= 35.0,<= 35.0,PSL2 Sanicro 28-125
 ,<= 35.0,<= 35.0,PSL1 Sanicro 28-110
 ,<= 37.0,<= 37.0,PSL1 Sanicro 28-125
"Tensile Strength, Yield  ","760 - 965 MPa
@Strain 0.200 %","110000 - 140000 psi
@Strain 0.200 %",PSL1 Sanicro 28-110
 ,"760 - 965 MPa
@Strain 0.200 %","110000 - 140000 psi
@Strain 0.200 %",PSL2 Sanicro 28-110
 ,"860 - 1000 MPa
@Strain 0.200 %","125000 - 145000 psi
@Strain 0.200 %",PSL2 Sanicro 28-125
 ,"860 - 1035 MPa
@Strain 0.200 %","125000 - 150100 psi
@Strain 0.200 %",PSL1 Sanicro 28-125
Modulus of Elasticity  ,"174 GPa
@Temperature 300 °C","25200 ksi
@Temperature 572 °F",
 ,"182 GPa
@Temperature 200 °C","26400 ksi
@Temperature 392 °F",
 ,"190 GPa
@Temperature 100 °C","27600 ksi
@Temperature 212 °F",
 ,"195 GPa
@Temperature 20.0 °C","28300 ksi
@Temperature 68.0 °F",
Electrical Resistivity  ,"0.00000950 ohm-cm
@Temperature 20.0 °C","0.00000950 ohm-cm
@Temperature 68.0 °F",
 ,"0.0000100 ohm-cm
@Temperature 100 °C","0.0000100 ohm-cm
@Temperature 212 °F",
 ,"0.0000100 ohm-cm
@Temperature 150 °C","0.0000100 ohm-cm
@Temperature 302 °F",
 ,"0.0000101 ohm-cm
@Temperature 200 °C","0.0000101 ohm-cm
@Temperature 392 °F",
 ,"0.0000104 ohm-cm
@Temperature 250 °C","0.0000104 ohm-cm
@Temperature 482 °F",
 ,"0.0000110 ohm-cm
@Temperature 300 °C","0.0000110 ohm-cm
@Temperature 572 °F",
"CTE, linear  ","13.0 µm/m-°C
@Temperature 30.0 - 50.0 °C","7.22 µin/in-°F
@Temperature 86.0 - 122 °F",
 ,"14.5 µm/m-°C
@Temperature 30.0 - 100 °C","8.06 µin/in-°F
@Temperature 86.0 - 212 °F",
 ,"15.0 µm/m-°C
@Temperature 30.0 - 150 °C","8.33 µin/in-°F
@Temperature 86.0 - 302 °F",
 ,"15.5 µm/m-°C
@Temperature 30.0 - 200 °C","8.61 µin/in-°F
@Temperature 86.0 - 392 °F",
 ,"15.5 µm/m-°C
@Temperature 30.0 - 250 °C","8.61 µin/in-°F
@Temperature 86.0 - 482 °F",
 ,"15.5 µm/m-°C
@Temperature 30.0 - 300 °C","8.61 µin/in-°F
@Temperature 86.0 - 572 °F",
Thermal Conductivity  ,"11.0 W/m-K
@Temperature 20.0 °C","76.3 BTU-in/hr-ft²-°F
@Temperature 68.0 °F",
 ,"11.0 W/m-K
@Temperature 50.0 °C","76.3 BTU-in/hr-ft²-°F
@Temperature 122 °F",
 ,"12.0 W/m-K
@Temperature 100 °C","83.3 BTU-in/hr-ft²-°F
@Temperature 212 °F",
 ,"13.0 W/m-K
@Temperature 150 °C","90.2 BTU-in/hr-ft²-°F
@Temperature 302 °F",
 ,"14.0 W/m-K
@Temperature 200 °C","97.2 BTU-in/hr-ft²-°F
@Temperature 392 °F",
 ,"15.0 W/m-K
@Temperature 250 °C","104 BTU-in/hr-ft²-°F
@Temperature 482 °F",
 ,"16.0 W/m-K
@Temperature 300 °C","111 BTU-in/hr-ft²-°F
@Temperature 572 °F",
"Carbon, C ",<= 0.0200 %,<= 0.0200 %,
"Copper, Cu ",1.0 %,1.0 %,
"Molybdenum, Mo ",3.5 %,3.5 %,
"Phosphorous, P ",<= 0.0250 %,<= 0.0250 %,
"Sulfur, S ",<= 0.0150 %,<= 0.0150 %,
"Tensile Strength, Ultimate ",>= 795 MPa,>= 115000 psi,PSL1 Sanicro 28-110
 ,>= 798 MPa,>= 116000 psi,PSL2 Sanicro 28-110
 ,>= 895 MPa,>= 130000 psi,PSL2 Sanicro 28-125
 ,>= 895 MPa,>= 130000 psi,PSL1 Sanicro 28-125
Elongation at Break ,>= 10.0 %,>= 10.0 %,PSL2 Sanicro 28-125
 ,>= 10.0 %,>= 10.0 %,PSL1 Sanicro 28-125
 ,>= 11.0 %,>= 11.0 %,PSL2 Sanicro 28-110
 ,>= 11.0 %,>= 11.0 %,PSL1 Sanicro 28-110
Poissons Ratio ,0.29,0.29,
Specific Heat Capacity  ,"0.460 J/g-°C
@Temperature 20.0 °C","0.110 BTU/lb-°F
@Temperature 68.0 °F",
 ,"0.470 J/g-°C
@Temperature 50.0 °C","0.112 BTU/lb-°F
@Temperature 122 °F",
 ,"0.480 J/g-°C
@Temperature 100 °C","0.115 BTU/lb-°F
@Temperature 212 °F",
 ,"0.495 J/g-°C
@Temperature 150 °C","0.118 BTU/lb-°F
@Temperature 302 °F",
 ,"0.505 J/g-°C
@Temperature 200 °C","0.121 BTU/lb-°F
@Temperature 392 °F",
 ,"0.515 J/g-°C
@Temperature 250 °C","0.123 BTU/lb-°F
@Temperature 482 °F",
 ,"0.525 J/g-°C
@Temperature 300 °C","0.125 BTU/lb-°F
@Temperature 572 °F",
"Chromium, Cr ",27 %,27 %,
"Manganese, Mn ",<= 2.00 %,<= 2.00 %,
"Nickel, Ni ",31 %,31 %,
"Silicon, Si ",<= 0.600 %,<= 0.600 %,
